Index,Feature Used,Num of Audio Features,Num of Features,Best F1 mean,Best F1 score,Best Machine Learning Model
195,"Spectral Centroid,Spectral Spread,Chroma Vector,Chroma Deviation",4,30,0.576612903226,0.25(0.903225806452),Linear SVM(All)
196,"Spectral Centroid,Spectral Spread,MFCCs",3,30,0.576612903226,0.25(0.903225806452),RBF SVM(All)
197,"Spectral Centroid,Spectral Spread,MFCCs,Chroma Deviation",4,32,0.681238615665,0.444444444444(0.918032786885),KNN(All)
198,"Spectral Centroid,Spectral Spread,MFCCs,Chroma Vector",4,54,0.62249614792,0.363636363636(0.881355932203),AB(All)
199,"Spectral Centroid,Spectral Spread,MFCCs,Chroma Vector,Chroma Deviation",5,56,0.576612903226,0.25(0.903225806452),Linear SVM(All)
200,"Spectral Centroid,Spectral Spread,Spectral Rolloff",3,6,0.43287037037,0.125(0.740740740741),AB(All)
201,"Spectral Centroid,Spectral Spread,Spectral Rolloff,Chroma Deviation",4,8,0.448484848485,0.133333333333(0.763636363636),AB(All)
202,"Spectral Centroid,Spectral Spread,Spectral Rolloff,Chroma Vector",4,30,0.576612903226,0.25(0.903225806452),Linear SVM(All)
203,"Spectral Centroid,Spectral Spread,Spectral Rolloff,Chroma Vector,Chroma Deviation",5,32,0.62249614792,0.363636363636(0.881355932203),AB(All)
204,"Spectral Centroid,Spectral Spread,Spectral Rolloff,MFCCs",4,32,0.576612903226,0.25(0.903225806452),KNN(All)
205,"Spectral Centroid,Spectral Spread,Spectral Rolloff,MFCCs,Chroma Deviation",5,34,0.681238615665,0.444444444444(0.918032786885),KNN(All)
206,"Spectral Centroid,Spectral Spread,Spectral Rolloff,MFCCs,Chroma Vector",5,56,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
207,"Spectral Centroid,Spectral Spread,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",6,58,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
208,"Spectral Centroid,Spectral Spread,Spectral Flux",3,6,0.642857142857,0.428571428571(0.857142857143),AB(All)
209,"Spectral Centroid,Spectral Spread,Spectral Flux,Chroma Deviation",4,8,0.533333333333,0.266666666667(0.8),AB(All)
210,"Spectral Centroid,Spectral Spread,Spectral Flux,Chroma Vector",4,30,0.497126436782,0.166666666667(0.827586206897),AB(All)
211,"Spectral Centroid,Spectral Spread,Spectral Flux,Chroma Vector,Chroma Deviation",5,32,0.480431848853,0.153846153846(0.80701754386),AB(All)
212,"Spectral Centroid,Spectral Spread,Spectral Flux,MFCCs",4,32,0.533333333333,0.2(0.866666666667),AB(All)
213,"Spectral Centroid,Spectral Spread,Spectral Flux,MFCCs,Chroma Deviation",5,34,0.553734061931,0.222222222222(0.885245901639),AB(All)
214,"Spectral Centroid,Spectral Spread,Spectral Flux,MFCCs,Chroma Vector",5,56,0.533333333333,0.2(0.866666666667),AB(All)
215,"Spectral Centroid,Spectral Spread,Spectral Flux,MFCCs,Chroma Vector,Chroma Deviation",6,58,0.576612903226,0.25(0.903225806452),KNN(All)
216,"Spectral Centroid,Spectral Spread,Spectral Flux,Spectral Rolloff",4,8,0.464285714286,0.142857142857(0.785714285714),AB(All)
217,"Spectral Centroid,Spectral Spread,Spectral Flux,Spectral Rolloff,Chroma Deviation",5,10,0.480431848853,0.153846153846(0.80701754386),AB(All)
218,"Spectral Centroid,Spectral Spread,Spectral Flux,Spectral Rolloff,Chroma Vector",5,32,0.480431848853,0.153846153846(0.80701754386),AB(All)
219,"Spectral Centroid,Spectral Spread,Spectral Flux,Spectral Rolloff,Chroma Vector,Chroma Deviation",6,34,0.497126436782,0.166666666667(0.827586206897),AB(All)
220,"Spectral Centroid,Spectral Spread,Spectral Flux,Spectral Rolloff,MFCCs",5,34,0.533333333333,0.2(0.866666666667),AB(All)
221,"Spectral Centroid,Spectral Spread,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Deviation",6,36,0,0.0(0.852459016393),GP-DP(All)
222,"Spectral Centroid,Spectral Spread,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector",6,58,0.533333333333,0.2(0.866666666667),AB(All)
223,"Spectral Centroid,Spectral Spread,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",7,60,0.514637904468,0.181818181818(0.847457627119),AB(All)
224,"Spectral Centroid,Spectral Spread,Spectral Entropy",3,6,0.626068376068,0.444444444444(0.807692307692),AB(All)
225,"Spectral Centroid,Spectral Spread,Spectral Entropy,Chroma Deviation",4,8,0.57269700333,0.352941176471(0.792452830189),AB(All)
226,"Spectral Centroid,Spectral Spread,Spectral Entropy,Chroma Vector",4,30,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
227,"Spectral Centroid,Spectral Spread,Spectral Entropy,Chroma Vector,Chroma Deviation",5,32,0.576612903226,0.25(0.903225806452),KNN(All)
228,"Spectral Centroid,Spectral Spread,Spectral Entropy,MFCCs",4,32,0.533333333333,0.2(0.866666666667),KNN(All)
229,"Spectral Centroid,Spectral Spread,Spectral Entropy,MFCCs,Chroma Deviation",5,34,0.576612903226,0.25(0.903225806452),KNN(All)
230,"Spectral Centroid,Spectral Spread,Spectral Entropy,MFCCs,Chroma Vector",5,56,0.576612903226,0.25(0.903225806452),KNN(All)
231,"Spectral Centroid,Spectral Spread,Spectral Entropy,MFCCs,Chroma Vector,Chroma Deviation",6,58,0.576612903226,0.25(0.903225806452),KNN(All)
232,"Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Rolloff",4,8,0.49500554939,0.235294117647(0.754716981132),AB(All)
233,"Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Rolloff,Chroma Deviation",5,10,0.41731409545,0.117647058824(0.716981132075),AB(All)
234,"Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Rolloff,Chroma Vector",5,32,0.576612903226,0.25(0.903225806452),Linear SVM(All)
235,"Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Rolloff,Chroma Vector,Chroma Deviation",6,34,0.681238615665,0.444444444444(0.918032786885),Linear SVM(All)
