Index,Feature Used,Num of Audio Features,Num of Features,Best F1 mean,Best F1 score,Best Machine Learning Model
1374,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector",7,30,0.574898785425,0.307692307692(0.842105263158),AB(All)
1375,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",8,31,0.576612903226,0.25(0.903225806452),KNN(All)
1376,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Spectral Entropy",4,4,0.574898785425,0.307692307692(0.842105263158),AB(All)
1377,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Spectral Entropy,Chroma Deviation",5,5,0,0.0(0.888888888889),GP-DP(All)
1378,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Spectral Entropy,Chroma Vector",5,16,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1379,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Spectral Entropy,Chroma Vector,Chroma Deviation",6,17,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1380,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Spectral Entropy,MFCCs",5,17,0.62249614792,0.363636363636(0.881355932203),AB(All)
1381,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Spectral Entropy,MFCCs,Chroma Deviation",6,18,0.76383265857,0.615384615385(0.912280701754),AB(All)
1382,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Spectral Entropy,MFCCs,Chroma Vector",6,29,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1383,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Spectral Entropy,MFCCs,Chroma Vector,Chroma Deviation",7,30,0.574898785425,0.307692307692(0.842105263158),AB(All)
1384,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Spectral Entropy,Spectral Rolloff",5,5,0.576612903226,0.25(0.903225806452),KNN(All)
1385,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Spectral Entropy,Spectral Rolloff,Chroma Deviation",6,6,0.514637904468,0.181818181818(0.847457627119),AB(All)
1386,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Spectral Entropy,Spectral Rolloff,Chroma Vector",6,17,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1387,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Spectral Entropy,Spectral Rolloff,Chroma Vector,Chroma Deviation",7,18,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1388,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Spectral Entropy,Spectral Rolloff,MFCCs",6,18,0.642857142857,0.428571428571(0.857142857143),AB(All)
1389,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Spectral Entropy,Spectral Rolloff,MFCCs,Chroma Deviation",7,19,0.514637904468,0.181818181818(0.847457627119),AB(All)
1390,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Spectral Entropy,Spectral Rolloff,MFCCs,Chroma Vector",7,30,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1391,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Spectral Entropy,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",8,31,0.730354391371,0.545454545455(0.915254237288),AB(All)
1392,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Spectral Entropy,Spectral Flux",5,5,0,0.0(0.888888888889),GP-DP(All)
1393,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Spectral Entropy,Spectral Flux,Chroma Deviation",6,6,0.576612903226,0.25(0.903225806452),KNN(All)
1394,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Spectral Entropy,Spectral Flux,Chroma Vector",6,17,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1395,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Spectral Entropy,Spectral Flux,Chroma Vector,Chroma Deviation",7,18,0.576612903226,0.25(0.903225806452),KNN(All)
1396,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Spectral Entropy,Spectral Flux,MFCCs",6,18,0.669365721997,0.461538461538(0.877192982456),AB(All)
1397,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Spectral Entropy,Spectral Flux,MFCCs,Chroma Deviation",7,19,0.597701149425,0.333333333333(0.862068965517),AB(All)
1398,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Spectral Entropy,Spectral Flux,MFCCs,Chroma Vector",7,30,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1399,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Spectral Entropy,Spectral Flux,MFCCs,Chroma Vector,Chroma Deviation",8,31,0.576612903226,0.25(0.903225806452),KNN(All)
1400,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff",6,6,0.553734061931,0.222222222222(0.885245901639),KNN(All)
1401,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,Chroma Deviation",7,7,0.553734061931,0.222222222222(0.885245901639),KNN(All)
1402,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,Chroma Vector",7,18,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1403,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,Chroma Vector,Chroma Deviation",8,19,0.576612903226,0.25(0.903225806452),KNN(All)
1404,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs",7,19,0.553734061931,0.222222222222(0.885245901639),KNN(All)
1405,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Deviation",8,20,0.597701149425,0.333333333333(0.862068965517),AB(All)
