Index,Feature Used,Num of Audio Features,Num of Features,Best F1 mean,Best F1 score,Best Machine Learning Model
1716,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Entropy,Spectral Flux,MFCCs",6,36,0,0.0(0.888888888889),GP-DP(MRMR)
1717,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Entropy,Spectral Flux,MFCCs,Chroma Deviation",7,38,0.533333333333,0.2(0.866666666667),AB(All)
1718,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Entropy,Spectral Flux,MFCCs,Chroma Vector",7,60,0.514637904468,0.181818181818(0.847457627119),AB(All)
1719,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Entropy,Spectral Flux,MFCCs,Chroma Vector,Chroma Deviation",8,62,0.533333333333,0.2(0.866666666667),AB(All)
1720,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Entropy,Spectral Flux,Spectral Rolloff",6,12,0,0.0(0.888888888889),GP-DP(MRMR)
1721,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Entropy,Spectral Flux,Spectral Rolloff,Chroma Deviation",7,14,0,0.0(0.888888888889),GP-DP(MRMR)
1722,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Entropy,Spectral Flux,Spectral Rolloff,Chroma Vector",7,36,0.553734061931,0.222222222222(0.885245901639),Linear SVM(All)
1723,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Entropy,Spectral Flux,Spectral Rolloff,Chroma Vector,Chroma Deviation",8,38,0.553734061931,0.222222222222(0.885245901639),Linear SVM(All)
1724,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs",7,38,0,0.0(0.888888888889),GP-DP(MRMR)
1725,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Deviation",8,40,0,0.0(0.888888888889),GP-DP(MRMR)
1726,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector",8,62,0.553734061931,0.222222222222(0.885245901639),AB(All)
1727,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",9,64,0.62249614792,0.363636363636(0.881355932203),AB(All)
1728,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread",4,8,0,0.0(0.888888888889),GP-DP(MRMR)
1729,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Chroma Deviation",5,10,0,0.0(0.888888888889),GP-DP(MRMR)
1730,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Chroma Vector",5,32,0.533333333333,0.2(0.866666666667),AB(All)
1731,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Chroma Vector,Chroma Deviation",6,34,0.553734061931,0.222222222222(0.885245901639),Linear SVM(All)
1732,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,MFCCs",5,34,0.553571428571,0.285714285714(0.821428571429),AB(All)
1733,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,MFCCs,Chroma Deviation",6,36,0.533333333333,0.2(0.866666666667),AB(All)
1734,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,MFCCs,Chroma Vector",6,58,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1735,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,MFCCs,Chroma Vector,Chroma Deviation",7,60,0.597701149425,0.333333333333(0.862068965517),AB(All)
1736,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Rolloff",5,10,0,0.0(0.888888888889),GP-DP(MRMR)
1737,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Rolloff,Chroma Deviation",6,12,0,0.0(0.888888888889),GP-DP(MRMR)
1738,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Rolloff,Chroma Vector",6,34,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1739,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Rolloff,Chroma Vector,Chroma Deviation",7,36,0.576612903226,0.25(0.903225806452),KNN(All)
1740,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Rolloff,MFCCs",6,36,0,0.0(0.888888888889),GP-DP(MRMR)
