Index,Feature Used,Num of Audio Features,Num of Features,Best F1 mean,Best F1 score,Best Machine Learning Model
1233,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Flux,Chroma Deviation",5,10,0.62249614792,0.363636363636(0.881355932203),KNN(CIFE)
1234,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Flux,Chroma Vector",5,32,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
1235,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Flux,Chroma Vector,Chroma Deviation",6,34,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1236,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Flux,MFCCs",5,34,0.730354391371,0.545454545455(0.915254237288),AB(CIFE)
1237,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Flux,MFCCs,Chroma Deviation",6,36,0.597701149425,0.333333333333(0.862068965517),AB(CFS)
1238,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Flux,MFCCs,Chroma Vector",6,58,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
1239,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Flux,MFCCs,Chroma Vector,Chroma Deviation",7,60,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1240,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Flux,Spectral Rolloff",5,10,0,0.0(0.888888888889),GP-DP(MRMR)
1241,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Flux,Spectral Rolloff,Chroma Deviation",6,12,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1242,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Flux,Spectral Rolloff,Chroma Vector",6,34,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
1243,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Flux,Spectral Rolloff,Chroma Vector,Chroma Deviation",7,36,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1244,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Flux,Spectral Rolloff,MFCCs",6,36,0.730354391371,0.545454545455(0.915254237288),AB(CIFE)
1245,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Deviation",7,38,0.597701149425,0.333333333333(0.862068965517),AB(CFS)
1246,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector",7,60,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
1247,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",8,62,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1248,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Entropy",4,8,0.70303030303,0.533333333333(0.872727272727),AB(CFS)
1249,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Entropy,Chroma Deviation",5,10,0.618181818182,0.4(0.836363636364),AB(CFS)
1250,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Entropy,Chroma Vector",5,32,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
1251,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Entropy,Chroma Vector,Chroma Deviation",6,34,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1252,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Entropy,MFCCs",5,34,0.730354391371,0.545454545455(0.915254237288),AB(CIFE)
1253,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Entropy,MFCCs,Chroma Deviation",6,36,0.597701149425,0.333333333333(0.862068965517),AB(CFS)
1254,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Entropy,MFCCs,Chroma Vector",6,58,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
1255,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Entropy,MFCCs,Chroma Vector,Chroma Deviation",7,60,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1256,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Rolloff",5,10,0.553734061931,0.222222222222(0.885245901639),KNN(All)
1257,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Rolloff,Chroma Deviation",6,12,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1258,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Rolloff,Chroma Vector",6,34,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
1259,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Rolloff,Chroma Vector,Chroma Deviation",7,36,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1260,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Rolloff,MFCCs",6,36,0.730354391371,0.545454545455(0.915254237288),AB(CIFE)
1261,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Rolloff,MFCCs,Chroma Deviation",7,38,0.62249614792,0.363636363636(0.881355932203),AB(All)
1262,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Rolloff,MFCCs,Chroma Vector",7,60,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
1263,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",8,62,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1264,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux",5,10,0.681238615665,0.444444444444(0.918032786885),KNN(FCBF)
1265,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,Chroma Deviation",6,12,0.62249614792,0.363636363636(0.881355932203),KNN(CIFE)
1266,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,Chroma Vector",6,34,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
1267,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,Chroma Vector,Chroma Deviation",7,36,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1268,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,MFCCs",6,36,0.730354391371,0.545454545455(0.915254237288),AB(CIFE)
1269,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,MFCCs,Chroma Deviation",7,38,0.597701149425,0.333333333333(0.862068965517),AB(CFS)
1270,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,MFCCs,Chroma Vector",7,60,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
1271,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,MFCCs,Chroma Vector,Chroma Deviation",8,62,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1272,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff",6,12,0.553734061931,0.222222222222(0.885245901639),KNN(All)
1273,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,Chroma Deviation",7,14,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1274,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,Chroma Vector",7,36,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
1275,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,Chroma Vector,Chroma Deviation",8,38,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1276,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs",7,38,0.730354391371,0.545454545455(0.915254237288),AB(CIFE)
1277,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Deviation",8,40,0.597701149425,0.333333333333(0.862068965517),AB(CFS)
1278,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector",8,62,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
1279,"Zero-crossing Rate,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",9,64,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1280,"Zero-crossing Rate,Entropy of Energy",2,4,0.553571428571,0.285714285714(0.821428571429),AB(FCBF)
1281,"Zero-crossing Rate,Entropy of Energy,Chroma Deviation",3,6,0.602683178535,0.421052631579(0.78431372549),AB(CIFE)
1282,"Zero-crossing Rate,Entropy of Energy,Chroma Vector",3,28,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
1283,"Zero-crossing Rate,Entropy of Energy,Chroma Vector,Chroma Deviation",4,30,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1284,"Zero-crossing Rate,Entropy of Energy,MFCCs",3,30,0.730354391371,0.545454545455(0.915254237288),AB(CIFE)
1285,"Zero-crossing Rate,Entropy of Energy,MFCCs,Chroma Deviation",4,32,0.597701149425,0.333333333333(0.862068965517),AB(CFS)
1286,"Zero-crossing Rate,Entropy of Energy,MFCCs,Chroma Vector",4,54,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
1287,"Zero-crossing Rate,Entropy of Energy,MFCCs,Chroma Vector,Chroma Deviation",5,56,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1288,"Zero-crossing Rate,Entropy of Energy,Spectral Rolloff",3,6,0,0.0(0.888888888889),GP-DP(MRMR)
1289,"Zero-crossing Rate,Entropy of Energy,Spectral Rolloff,Chroma Deviation",4,8,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1290,"Zero-crossing Rate,Entropy of Energy,Spectral Rolloff,Chroma Vector",4,30,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
1291,"Zero-crossing Rate,Entropy of Energy,Spectral Rolloff,Chroma Vector,Chroma Deviation",5,32,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1292,"Zero-crossing Rate,Entropy of Energy,Spectral Rolloff,MFCCs",4,32,0.730354391371,0.545454545455(0.915254237288),AB(CIFE)
1293,"Zero-crossing Rate,Entropy of Energy,Spectral Rolloff,MFCCs,Chroma Deviation",5,34,0.597701149425,0.333333333333(0.862068965517),AB(CFS)
1294,"Zero-crossing Rate,Entropy of Energy,Spectral Rolloff,MFCCs,Chroma Vector",5,56,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
1295,"Zero-crossing Rate,Entropy of Energy,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",6,58,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1296,"Zero-crossing Rate,Entropy of Energy,Spectral Flux",3,6,0.681238615665,0.444444444444(0.918032786885),KNN(FCBF)
1297,"Zero-crossing Rate,Entropy of Energy,Spectral Flux,Chroma Deviation",4,8,0.62249614792,0.363636363636(0.881355932203),KNN(CIFE)
1298,"Zero-crossing Rate,Entropy of Energy,Spectral Flux,Chroma Vector",4,30,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
1299,"Zero-crossing Rate,Entropy of Energy,Spectral Flux,Chroma Vector,Chroma Deviation",5,32,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1300,"Zero-crossing Rate,Entropy of Energy,Spectral Flux,MFCCs",4,32,0.730354391371,0.545454545455(0.915254237288),AB(CIFE)
1301,"Zero-crossing Rate,Entropy of Energy,Spectral Flux,MFCCs,Chroma Deviation",5,34,0.597701149425,0.333333333333(0.862068965517),AB(CFS)
1302,"Zero-crossing Rate,Entropy of Energy,Spectral Flux,MFCCs,Chroma Vector",5,56,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
1303,"Zero-crossing Rate,Entropy of Energy,Spectral Flux,MFCCs,Chroma Vector,Chroma Deviation",6,58,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1304,"Zero-crossing Rate,Entropy of Energy,Spectral Flux,Spectral Rolloff",4,8,0,0.0(0.888888888889),GP-DP(MRMR)
1305,"Zero-crossing Rate,Entropy of Energy,Spectral Flux,Spectral Rolloff,Chroma Deviation",5,10,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1306,"Zero-crossing Rate,Entropy of Energy,Spectral Flux,Spectral Rolloff,Chroma Vector",5,32,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
1307,"Zero-crossing Rate,Entropy of Energy,Spectral Flux,Spectral Rolloff,Chroma Vector,Chroma Deviation",6,34,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1308,"Zero-crossing Rate,Entropy of Energy,Spectral Flux,Spectral Rolloff,MFCCs",5,34,0.730354391371,0.545454545455(0.915254237288),AB(CIFE)
1309,"Zero-crossing Rate,Entropy of Energy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Deviation",6,36,0.597701149425,0.333333333333(0.862068965517),AB(CFS)
1310,"Zero-crossing Rate,Entropy of Energy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector",6,58,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
1311,"Zero-crossing Rate,Entropy of Energy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",7,60,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1312,"Zero-crossing Rate,Entropy of Energy,Spectral Entropy",3,6,0.553734061931,0.222222222222(0.885245901639),KNN(All)
1313,"Zero-crossing Rate,Entropy of Energy,Spectral Entropy,Chroma Deviation",4,8,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1314,"Zero-crossing Rate,Entropy of Energy,Spectral Entropy,Chroma Vector",4,30,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
1315,"Zero-crossing Rate,Entropy of Energy,Spectral Entropy,Chroma Vector,Chroma Deviation",5,32,0.576612903226,0.25(0.903225806452),KNN(FCBF)
